,id,name,slug,website,place,functioning,secure,country,mp3,place_name,place_geo,place_geo_x,place_geo_y,geometry,len_mp3,trail_mp3
0,LcTyJeRx,Bula FM 102.0,bula-fm-102-0,http://bulafm.fbc.com.fj/,"{'name': 'Suva', 'geo': [178.4500789, -18.1248086]}",True,False,Fiji,http://peridot.streamguys.com:7150/Bula,Suva,"[178.4500789, -18.1248086]",178.4500789,-18.1248086,POINT (178.4500789 -18.1248086),39,True
2,tkBhjLEk,Mirchi FM 97.8,mirchi-fm-97-8,http://mirchifm.fbc.com.fj/,"{'name': 'Suva', 'geo': [178.4500789, -18.1248086]}",True,False,Fiji,http://peridot.streamguys.com:7150/Mirchi,Suva,"[178.4500789, -18.1248086]",178.4500789,-18.1248086,POINT (178.4500789 -18.1248086),41,True
3,yZvnVHFS,Radio 2Day FM,radio-2day-fm,http://2dayfm.fbc.com.fj/,"{'name': 'Suva', 'geo': [178.4500789, -18.1248086]}",True,False,Fiji,http://peridot.streamguys.com:7150/2Day,Suva,"[178.4500789, -18.1248086]",178.4500789,-18.1248086,POINT (178.4500789 -18.1248086),39,True
4,BrEFxn5n,Radio Fiji GOLD FM 100.4,radio-fiji-gold-fm-100-4,http://goldfm.fbc.com.fj/,"{'name': 'Suva', 'geo': [178.4500789, -18.1248086]}",True,False,Fiji,http://peridot.streamguys.com:7150/Gold,Suva,"[178.4500789, -18.1248086]",178.4500789,-18.1248086,POINT (178.4500789 -18.1248086),39,True
5,EJsyacaD,Radio Fiji ONE FM 107.4,radio-fiji-one-fm-107-4,http://rf1.fbc.com.fj/,"{'name': 'Suva', 'geo': [178.4500789, -18.1248086]}",True,False,Fiji,http://peridot.streamguys.com:7150/RFOne,Suva,"[178.4500789, -18.1248086]",178.4500789,-18.1248086,POINT (178.4500789 -18.1248086),40,True
6,lxTrNA6S,Radio Fiji Two,radio-fiji-two,http://rf2.fbc.com.fj/,"{'name': 'Suva', 'geo': [178.4500789, -18.1248086]}",True,False,Fiji,http://peridot.streamguys.com:7150/RFTwo,Suva,"[178.4500789, -18.1248086]",178.4500789,-18.1248086,POINT (178.4500789 -18.1248086),40,True
11,HtADw4-B,Switch FM 87.9,switch-fm-87-9,http://www.theswitch.co.nz,"{'name': 'Gisborne', 'geo': [178.017649, -38.662334]}",True,False,New Zealand,http://s8.myradiostream.com:56886/listen.m4a,Gisborne,"[178.017649, -38.662334]",178.017649,-38.662334,POINT (178.017649 -38.662334),44,True
13,fTB1NGm0,Mix FM 93.8,mix-fm-93-8,https://mix.com.fj/,"{'name': 'Lautoka', 'geo': [177.4504888, -17.6169957]}",True,False,Fiji,http://fijiradio.net:8000/live,Lautoka,"[177.4504888, -17.6169957]",177.4504888,-17.6169957,POINT (177.4504888 -17.6169957),30,True
15,WaTroSoa,Kiss FM 106.9,kiss-fm-106-9,http://www.kissfm.co.nz,"{'name': 'Tauranga', 'geo': [176.1651295, -37.6877975]}",True,False,New Zealand,http://tunein-icecast.mediaworks.nz/rock_128kbps,Tauranga,"[176.1651295, -37.6877975]",176.1651295,-37.6877975,POINT (176.1651295 -37.6877975),48,True
16,WAY5wY4x,Cool Blue Taupo FM 107.5,cool-blue-taupo-fm-107-5,https://www.coolbluetaupo.com/,"{'name': 'Taupo', 'geo': [176.0702098, -38.6856924]}",True,False,New Zealand,http://37.59.28.208:8166/stream,Taupo,"[176.0702098, -38.6856924]",176.0702098,-38.6856924,POINT (176.0702098 -38.6856924),31,True
17,Ftrzc2Hy,The Chill,helpmechill,http://www.helpmechill.com/,"{'name': 'Taupo', 'geo': [176.0702098, -38.6856924]}",True,False,New Zealand,http://media-sov.musicradio.com/Chill,Taupo,"[176.0702098, -38.6856924]",176.0702098,-38.6856924,POINT (176.0702098 -38.6856924),37,True
18,dbljyPGD,Ski FM,ski-fm-network,http://skifmnetwork.co.nz,"{'name': 'Taupo', 'geo': [176.0702098, -38.6856924]}",True,False,New Zealand,http://s2.radio.co/s6436891bc/listen,Taupo,"[176.0702098, -38.6856924]",176.0702098,-38.6856924,POINT (176.0702098 -38.6856924),36,True
20,kx1rB5Be,Radio Control,radio-control,http://radiocontrol.org.nz/,"{'name': 'Palmerston North', 'geo': [175.6082145, -40.3523065]}",True,False,New Zealand,http://ice1.outcastdigital.com:8000/radiocontrol,Palmerston North,"[175.6082145, -40.3523065]",175.6082145,-40.3523065,POINT (175.6082145 -40.3523065),48,True
24,zxcvhPdi,KIX FM,kixfm,http://kixfm.co.nz,"{'name': 'Wellington', 'geo': [174.776236, -41.2864603]}",True,False,New Zealand,http://stream.amsmusic.co.nz:8178/stream,Wellington,"[174.776236, -41.2864603]",174.776236,-41.2864603,POINT (174.776236 -41.2864603),40,True
28,HgaKaanE,RNZ International,rnz-international,http://www.rnzi.com/,"{'name': 'Wellington', 'geo': [174.776236, -41.2864603]}",True,False,New Zealand,http://radionz-ice.streamguys.com/international.mp3,Wellington,"[174.776236, -41.2864603]",174.776236,-41.2864603,POINT (174.776236 -41.2864603),51,True
29,D5TltEXG,RNZ National,rnz-national,http://www.radionz.co.nz/national,"{'name': 'Wellington', 'geo': [174.776236, -41.2864603]}",True,False,New Zealand,http://radionz-ice.streamguys.com/national.mp3,Wellington,"[174.776236, -41.2864603]",174.776236,-41.2864603,POINT (174.776236 -41.2864603),46,True
